ThreadID: 40e6ffd401720000, CarID: 1, Object: C0, time stamp: 654, AID: 1 arrived at connector.
ThreadID: 40b67fcb01720000, CarID: 4, Object: C0, time stamp: 654, AID: 3 finished passing connector.
ThreadID: 40b67fd301720000, CarID: 5, Object: C0, time stamp: 654, AID: 2 started passing connector.
ThreadID: 40e6ffd401720000, CarID: 1, Object: C0, time stamp: 664, AID: 2 started passing connector.
ThreadID: 40967fd201720000, CarID: 7, Object: C0, time stamp: 664, AID: 1 arrived at connector.
ThreadID: 40c6ffd301720000, CarID: 3, Object: C0, time stamp: 675, AID: 1 arrived at connector.
ThreadID: 40967fd201720000, CarID: 7, Object: C0, time stamp: 675, AID: 2 started passing connector.
ThreadID: 40c6ffd301720000, CarID: 3, Object: C0, time stamp: 685, AID: 2 started passing connector.
ThreadID: 40b67fd301720000, CarID: 5, Object: C0, time stamp: 754, AID: 3 finished passing connector.
ThreadID: 40e6ffd401720000, CarID: 1, Object: C0, time stamp: 765, AID: 3 finished passing connector.
ThreadID: 40967fd201720000, CarID: 7, Object: C0, time stamp: 775, AID: 3 finished passing connector.
ThreadID: 40c6ffd301720000, CarID: 3, Object: C0, time stamp: 785, AID: 3 finished passing connector.
