ThreadID: 40b6bf9848700000, CarID: 4, Object: C0, time stamp: 553, AID: 2 started passing connector.
ThreadID: 40d6bf9948700000, CarID: 2, Object: C0, time stamp: 564, AID: 2 started passing connector.
ThreadID: 40c63f9948700000, CarID: 3, Object: C0, time stamp: 564, AID: 1 arrived at connector.
ThreadID: 40c63f9948700000, CarID: 3, Object: C0, time stamp: 574, AID: 2 started passing connector.
ThreadID: 40f6ff9348700000, CarID: 5, Object: C0, time stamp: 574, AID: 1 arrived at connector.
ThreadID: 40d6ff9248700000, CarID: 7, Object: C0, time stamp: 584, AID: 1 arrived at connector.
ThreadID: 40f6ff9348700000, CarID: 5, Object: C0, time stamp: 584, AID: 2 started passing connector.
ThreadID: 40d6ff9248700000, CarID: 7, Object: C0, time stamp: 595, AID: 2 started passing connector.
ThreadID: 40e63f9a48700000, CarID: 1, Object: C0, time stamp: 602, AID: 3 finished passing connector.
ThreadID: 40f6bf9a48700000, CarID: 0, Object: C0, time stamp: 633, AID: 3 finished passing connector.
ThreadID: 40e67f9348700000, CarID: 6, Object: C0, time stamp: 643, AID: 3 finished passing connector.
ThreadID: 40b6bf9848700000, CarID: 4, Object: C0, time stamp: 654, AID: 3 finished passing connector.
ThreadID: 40d6bf9948700000, CarID: 2, Object: C0, time stamp: 664, AID: 3 finished passing connector.
ThreadID: 40c63f9948700000, CarID: 3, Object: C0, time stamp: 674, AID: 3 finished passing connector.
ThreadID: 40f6ff9348700000, CarID: 5, Object: C0, time stamp: 685, AID: 3 finished passing connector.
ThreadID: 40d6ff9248700000, CarID: 7, Object: C0, time stamp: 695, AID: 3 finished passing connector.
